23:45:44.433 [main] INFO  i.s.m.SpringBootJournalAppApplication - Starting SpringBootJournalAppApplication using Java 21.0.7 with PID 15024 (D:\Workspace\workspace-spring-tools-for-eclipse-4.31.0.RELEASE\SpringBootLogging\target\classes started by lenovo in D:\Workspace\workspace-spring-tools-for-eclipse-4.31.0.RELEASE\SpringBootLogging)
23:45:47.964 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 2. Remaining time: 29988 ms. Selector: WritableServerSelector, topology description: {type=UNKNOWN, servers=[].
23:45:48.089 [cluster-ClusterId{value='68b1ee535069b80f07f1374c', description='Cluster0'}-srv-cluster0.zr6vo9n.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017 to client view of cluster
23:45:48.160 [cluster-ClusterId{value='68b1ee535069b80f07f1374c', description='Cluster0'}-srv-cluster0.zr6vo9n.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-woofgin-shard-00-02.zr6vo9n.mongodb.net:27017 to client view of cluster
23:45:48.177 [cluster-ClusterId{value='68b1ee535069b80f07f1374c', description='Cluster0'}-srv-cluster0.zr6vo9n.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-woofgin-shard-00-00.zr6vo9n.mongodb.net:27017 to client view of cluster
23:45:49.405 [cluster-ClusterId{value='68b1ee535069b80f07f1374c', description='Cluster0'}-ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=639542500, minRoundTripTimeNanos=0, setName='atlas-10autu-shard-0', canonicalAddress=ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017, hosts=[ac-woofgin-shard-00-02.zr6vo9n.mongodb.net:27017, ac-woofgin-shard-00-00.zr6vo9n.mongodb.net:27017, ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017], passives=[], arbiters=[], primary='ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000000aa, setVersion=22, topologyVersion=TopologyVersion{processId=68acb81bf65f8e35fcdc8746, counter=6}, lastWriteDate=Fri Aug 29 23:45:48 IST 2025, lastUpdateTimeNanos=971035608447200}
23:45:49.405 [cluster-ClusterId{value='68b1ee535069b80f07f1374c', description='Cluster0'}-ac-woofgin-shard-00-00.zr6vo9n.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-woofgin-shard-00-00.zr6vo9n.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=636317400, minRoundTripTimeNanos=0, setName='atlas-10autu-shard-0', canonicalAddress=ac-woofgin-shard-00-00.zr6vo9n.mongodb.net:27017, hosts=[ac-woofgin-shard-00-02.zr6vo9n.mongodb.net:27017, ac-woofgin-shard-00-00.zr6vo9n.mongodb.net:27017, ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017], passives=[], arbiters=[], primary='ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=22, topologyVersion=TopologyVersion{processId=68acb5f820fc1ae4f1e648ae, counter=4}, lastWriteDate=Fri Aug 29 23:45:48 IST 2025, lastUpdateTimeNanos=971035608447500}
23:45:49.407 [cluster-ClusterId{value='68b1ee535069b80f07f1374c', description='Cluster0'}-ac-woofgin-shard-00-02.zr6vo9n.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-woofgin-shard-00-02.zr6vo9n.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=634725700, minRoundTripTimeNanos=0, setName='atlas-10autu-shard-0', canonicalAddress=ac-woofgin-shard-00-02.zr6vo9n.mongodb.net:27017, hosts=[ac-woofgin-shard-00-02.zr6vo9n.mongodb.net:27017, ac-woofgin-shard-00-00.zr6vo9n.mongodb.net:27017, ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017], passives=[], arbiters=[], primary='ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=22, topologyVersion=TopologyVersion{processId=68acbb247528d3bae1cf317a, counter=3}, lastWriteDate=Fri Aug 29 23:45:48 IST 2025, lastUpdateTimeNanos=971035608447100}
23:45:49.414 [cluster-ClusterId{value='68b1ee535069b80f07f1374c', description='Cluster0'}-ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017 with max election id 7fffffff00000000000000aa and max set version 22
23:45:51.247 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl
23:45:52.126 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
23:45:52.167 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
23:45:52.198 [main] INFO  i.s.m.SpringBootJournalAppApplication - Started SpringBootJournalAppApplication in 8.649 seconds (process running for 10.623)
