14:05:05.114 [main] INFO  i.s.m.SpringBootJournalAppApplication - Starting SpringBootJournalAppApplication using Java 21.0.7 with PID 2388 (D:\Workspace\workspace-spring-tools-for-eclipse-4.31.0.RELEASE\SpringBootExternalApiIntegration\target\classes started by lenovo in D:\Workspace\workspace-spring-tools-for-eclipse-4.31.0.RELEASE\SpringBootExternalApiIntegration)
14:05:08.803 [cluster-ClusterId{value='68b4093c6aff7a2b37a4445c', description='Cluster0'}-srv-cluster0.zr6vo9n.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017 to client view of cluster
14:05:08.934 [cluster-ClusterId{value='68b4093c6aff7a2b37a4445c', description='Cluster0'}-srv-cluster0.zr6vo9n.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-woofgin-shard-00-02.zr6vo9n.mongodb.net:27017 to client view of cluster
14:05:08.948 [cluster-ClusterId{value='68b4093c6aff7a2b37a4445c', description='Cluster0'}-srv-cluster0.zr6vo9n.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-woofgin-shard-00-00.zr6vo9n.mongodb.net:27017 to client view of cluster
14:05:09.109 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29990 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-woofgin-shard-00-02.zr6vo9n.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-woofgin-shard-00-00.zr6vo9n.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
14:05:10.313 [cluster-ClusterId{value='68b4093c6aff7a2b37a4445c', description='Cluster0'}-ac-woofgin-shard-00-00.zr6vo9n.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-woofgin-shard-00-00.zr6vo9n.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=637780800, minRoundTripTimeNanos=0, setName='atlas-10autu-shard-0', canonicalAddress=ac-woofgin-shard-00-00.zr6vo9n.mongodb.net:27017, hosts=[ac-woofgin-shard-00-02.zr6vo9n.mongodb.net:27017, ac-woofgin-shard-00-00.zr6vo9n.mongodb.net:27017, ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017], passives=[], arbiters=[], primary='ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=22, topologyVersion=TopologyVersion{processId=68acb5f820fc1ae4f1e648ae, counter=4}, lastWriteDate=Sun Aug 31 14:05:07 IST 2025, lastUpdateTimeNanos=81174706612400}
14:05:10.313 [cluster-ClusterId{value='68b4093c6aff7a2b37a4445c', description='Cluster0'}-ac-woofgin-shard-00-02.zr6vo9n.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-woofgin-shard-00-02.zr6vo9n.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=636913400, minRoundTripTimeNanos=0, setName='atlas-10autu-shard-0', canonicalAddress=ac-woofgin-shard-00-02.zr6vo9n.mongodb.net:27017, hosts=[ac-woofgin-shard-00-02.zr6vo9n.mongodb.net:27017, ac-woofgin-shard-00-00.zr6vo9n.mongodb.net:27017, ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017], passives=[], arbiters=[], primary='ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=22, topologyVersion=TopologyVersion{processId=68acbb247528d3bae1cf317a, counter=3}, lastWriteDate=Sun Aug 31 14:05:07 IST 2025, lastUpdateTimeNanos=81174706612400}
14:05:10.314 [cluster-ClusterId{value='68b4093c6aff7a2b37a4445c', description='Cluster0'}-ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=641941100, minRoundTripTimeNanos=0, setName='atlas-10autu-shard-0', canonicalAddress=ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017, hosts=[ac-woofgin-shard-00-02.zr6vo9n.mongodb.net:27017, ac-woofgin-shard-00-00.zr6vo9n.mongodb.net:27017, ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017], passives=[], arbiters=[], primary='ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000000aa, setVersion=22, topologyVersion=TopologyVersion{processId=68acb81bf65f8e35fcdc8746, counter=6}, lastWriteDate=Sun Aug 31 14:05:07 IST 2025, lastUpdateTimeNanos=81174706612300}
14:05:10.321 [cluster-ClusterId{value='68b4093c6aff7a2b37a4445c', description='Cluster0'}-ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017 with max election id 7fffffff00000000000000aa and max set version 22
14:05:11.373 [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'userAuthenticatedController' defined in file [D:\Workspace\workspace-spring-tools-for-eclipse-4.31.0.RELEASE\SpringBootExternalApiIntegration\target\classes\in\sp\main\controller\UserAuthenticatedController.class]: Unsatisfied dependency expressed through constructor parameter 2: No qualifying bean of type 'in.sp.main.entity.User' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {}
14:05:11.475 [main] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
14:05:11.516 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
14:05:11.570 [main] ERROR o.s.b.d.LoggingFailureAnalysisReporter - 

***************************
APPLICATION FAILED TO START
***************************

Description:

Parameter 2 of constructor in in.sp.main.controller.UserAuthenticatedController required a bean of type 'in.sp.main.entity.User' that could not be found.


Action:

Consider defining a bean of type 'in.sp.main.entity.User' in your configuration.

14:08:15.360 [main] INFO  i.s.m.SpringBootJournalAppApplication - Starting SpringBootJournalAppApplication using Java 21.0.7 with PID 15388 (D:\Workspace\workspace-spring-tools-for-eclipse-4.31.0.RELEASE\SpringBootExternalApiIntegration\target\classes started by lenovo in D:\Workspace\workspace-spring-tools-for-eclipse-4.31.0.RELEASE\SpringBootExternalApiIntegration)
14:08:15.362 [main] INFO  i.s.m.SpringBootJournalAppApplication - No active profile set, falling back to 1 default profile: "default"
14:08:19.500 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
14:08:19.610 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 101 ms. Found 2 MongoDB repository interfaces.
14:08:22.247 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
14:08:22.281 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
14:08:22.285 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
14:08:22.285 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.44]
14:08:22.403 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
14:08:22.404 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 6828 ms
14:08:23.281 [cluster-ClusterId{value='68b409ff950af7ba4afb952b', description='Cluster0'}-srv-cluster0.zr6vo9n.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017 to client view of cluster
14:08:23.423 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Eclipse Adoptium/21.0.7+6-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='manashbarman007', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@16a3cc88, com.mongodb.Jep395RecordCodecProvider@696b52bc, com.mongodb.KotlinCodecProvider@1f884bd6]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.zr6vo9n.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-10autu-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
14:08:23.455 [cluster-ClusterId{value='68b409ff950af7ba4afb952b', description='Cluster0'}-srv-cluster0.zr6vo9n.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-woofgin-shard-00-02.zr6vo9n.mongodb.net:27017 to client view of cluster
14:08:23.486 [cluster-ClusterId{value='68b409ff950af7ba4afb952b', description='Cluster0'}-srv-cluster0.zr6vo9n.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-woofgin-shard-00-00.zr6vo9n.mongodb.net:27017 to client view of cluster
14:08:24.876 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29971 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-woofgin-shard-00-02.zr6vo9n.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-woofgin-shard-00-00.zr6vo9n.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
14:08:25.437 [cluster-ClusterId{value='68b409ff950af7ba4afb952b', description='Cluster0'}-ac-woofgin-shard-00-02.zr6vo9n.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-woofgin-shard-00-02.zr6vo9n.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=453468400, minRoundTripTimeNanos=0, setName='atlas-10autu-shard-0', canonicalAddress=ac-woofgin-shard-00-02.zr6vo9n.mongodb.net:27017, hosts=[ac-woofgin-shard-00-02.zr6vo9n.mongodb.net:27017, ac-woofgin-shard-00-00.zr6vo9n.mongodb.net:27017, ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017], passives=[], arbiters=[], primary='ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=22, topologyVersion=TopologyVersion{processId=68acbb247528d3bae1cf317a, counter=3}, lastWriteDate=Sun Aug 31 14:08:26 IST 2025, lastUpdateTimeNanos=81369831715000}
14:08:25.437 [cluster-ClusterId{value='68b409ff950af7ba4afb952b', description='Cluster0'}-ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=443435700, minRoundTripTimeNanos=0, setName='atlas-10autu-shard-0', canonicalAddress=ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017, hosts=[ac-woofgin-shard-00-02.zr6vo9n.mongodb.net:27017, ac-woofgin-shard-00-00.zr6vo9n.mongodb.net:27017, ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017], passives=[], arbiters=[], primary='ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000000aa, setVersion=22, topologyVersion=TopologyVersion{processId=68acb81bf65f8e35fcdc8746, counter=6}, lastWriteDate=Sun Aug 31 14:08:26 IST 2025, lastUpdateTimeNanos=81369831715100}
14:08:25.438 [cluster-ClusterId{value='68b409ff950af7ba4afb952b', description='Cluster0'}-ac-woofgin-shard-00-00.zr6vo9n.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-woofgin-shard-00-00.zr6vo9n.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=452155800, minRoundTripTimeNanos=0, setName='atlas-10autu-shard-0', canonicalAddress=ac-woofgin-shard-00-00.zr6vo9n.mongodb.net:27017, hosts=[ac-woofgin-shard-00-02.zr6vo9n.mongodb.net:27017, ac-woofgin-shard-00-00.zr6vo9n.mongodb.net:27017, ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017], passives=[], arbiters=[], primary='ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=22, topologyVersion=TopologyVersion{processId=68acb5f820fc1ae4f1e648ae, counter=4}, lastWriteDate=Sun Aug 31 14:08:26 IST 2025, lastUpdateTimeNanos=81369831714900}
14:08:25.440 [cluster-ClusterId{value='68b409ff950af7ba4afb952b', description='Cluster0'}-ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-woofgin-shard-00-01.zr6vo9n.mongodb.net:27017 with max election id 7fffffff00000000000000aa and max set version 22
14:08:26.948 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl
14:08:27.317 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
14:08:27.345 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
14:08:27.359 [main] INFO  i.s.m.SpringBootJournalAppApplication - Started SpringBootJournalAppApplication in 15.623 seconds (process running for 19.55)
14:10:26.743 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
14:10:26.756 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
14:10:26.760 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
14:12:13.531 [RMI TCP Connection(8)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
14:12:14.834 [RMI TCP Connection(8)-127.0.0.1] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
14:12:15.045 [tomcat-shutdown] INFO  o.a.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8080"]
14:12:15.284 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
14:12:15.344 [RMI TCP Connection(8)-127.0.0.1] INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
14:12:43.364 [main] INFO  i.s.m.SpringBootJournalAppApplication - Starting SpringBootJournalAppApplication using Java 21.0.7 with PID 14196 (D:\Workspace\workspace-spring-tools-for-eclipse-4.31.0.RELEASE\SpringBootExternalApiIntegration\target\classes started by lenovo in D:\Workspace\workspace-spring-tools-for-eclipse-4.31.0.RELEASE\SpringBootExternalApiIntegration)
14:12:43.367 [main] INFO  i.s.m.SpringBootJournalAppApplication - No active profile set, falling back to 1 default profile: "default"
14:12:44.131 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
14:12:44.193 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 56 ms. Found 2 MongoDB repository interfaces.
14:12:44.705 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
14:12:44.723 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
14:12:44.726 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
14:12:44.726 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.44]
14:12:44.793 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
14:12:44.794 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1350 ms
14:12:45.248 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Eclipse Adoptium/21.0.7+6-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='manashbarman007', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@296edc75, com.mongodb.Jep395RecordCodecProvider@357c9bd9, com.mongodb.KotlinCodecProvider@7aea704c]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.zr6vo9n.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-10autu-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
